year,tdb
-13198,-3099329.0427357946
-13197,-3098963.7969354894
-13196,-3098598.5608007805
-13195,-3098233.315194197
-13194,-3097868.071159575
-13193,-3097502.832687716
-13192,-3097137.5856020227
-13191,-3096772.343678479
-13190,-3096407.097307657
-13189,-3096041.8465699404
-13188,-3095676.6050432343
-13187,-3095311.3603788866
-13186,-3094946.1146179857
-13185,-3094580.876345182
-13184,-3094215.630994496
-13183,-3093850.388273445
-13182,-3093485.148450814
-13181,-3093119.901722542
-13180,-3092754.664874398
-13179,-3092389.422803494
-13178,-3092024.1750248624
-13177,-3091658.935689333
-13176,-3091293.6892703157
-13175,-3090928.4472123254
-13174,-3090563.2055341164
-13173,-3090197.958091585
-13172,-3089832.716558569
-13171,-3089467.471589798
-13170,-3089102.224363478
-13169,-3088736.983789214
-13168,-3088371.7396488665
-13167,-3088006.495027031
-13166,-3087641.250603536
-13165,-3087276.0041415133
-13164,-3086910.7622613367
-13163,-3086545.522746141
-13162,-3086180.278217367
-13161,-3085815.0398137663
-13160,-3085449.797957386
-13159,-3085084.5540165612
-13158,-3084719.3133642823
-13157,-3084354.0686852513
-13156,-3083988.8267509323
-13155,-3083623.58292187
-13154,-3083258.3337253593
-13153,-3082893.0891289404
-13152,-3082527.844466095
-13151,-3082162.5996114826
-13150,-3081797.3568680007
-13149,-3081432.1129992595
-13148,-3081066.8694186574
-13147,-3080701.627953477
-13146,-3080336.3842710964
-13145,-3079971.1431473317
-13144,-3079605.903502249
-13143,-3079240.65892806
-13142,-3078875.414829053
-13141,-3078510.1711090896
-13140,-3078144.927559985
-13139,-3077779.6867990876
-13138,-3077414.442884595
-13137,-3077049.1998512046
-13136,-3076683.9562257705
-13135,-3076318.712032254
-13134,-3075953.4662667755
-13133,-3075588.2235209197
-13132,-3075222.979745509
-13131,-3074857.734019582
-13130,-3074492.489183821
-13129,-3074127.243193006
-13128,-3073762.0019277204
-13127,-3073396.7612645514
-13126,-3073031.517053539
-13125,-3072666.277327301
-13124,-3072301.034009128
-13123,-3071935.7916474324
-13122,-3071570.5509078586
-13121,-3071205.307376949
-13120,-3070840.06617603
-13119,-3070474.821661409
-13118,-3070109.5736565497
-13117,-3069744.3290839624
-13116,-3069379.0855442984
-13115,-3069013.8405596977
-13114,-3068648.598144969
-13113,-3068283.353519178
-13112,-3067918.1090204464
-13111,-3067552.8689174177
-13110,-3067187.6222801395
-13109,-3066822.38163634
-13108,-3066457.1406476004
-13107,-3066091.893387708
-13106,-3065726.651966503
-13105,-3065361.407430957
-13104,-3064996.165163641
-13103,-3064630.92793575
-13102,-3064265.681202097
-13101,-3063900.439647237
-13100,-3063535.197859898
-13099,-3063169.9507451234
-13098,-3062804.7089836104
-13097,-3062439.4653264536
-13096,-3062074.2189411046
-13095,-3061708.976862957
-13094,-3061343.7270729393
-13093,-3060978.481714625
-13092,-3060613.2427065996
-13091,-3060247.995583974
-13090,-3059882.755672845
-13089,-3059517.5140373223
-13088,-3059152.269159672
-13087,-3058787.0324067436
-13086,-3058421.787526803
-13085,-3058056.5457598055
-13084,-3057691.3069931353
-13083,-3057326.057206858
-13082,-3056960.8134994274
-13081,-3056595.5704767033
-13080,-3056230.3241304783
-13079,-3055865.08515127
-13078,-3055499.838847558
-13077,-3055134.5919665424
-13076,-3054769.352499039
-13075,-3054404.104064352
-13074,-3054038.8608502643
-13073,-3053673.6219652398
-13072,-3053308.3730441146
-13071,-3052943.134187483
-13070,-3052577.8885171656
-13069,-3052212.6429335345
-13068,-3051847.408541317
-13067,-3051482.1620003944
-13066,-3051116.9202572852
-13065,-3050751.6810293263
-13064,-3050386.43320081
-13063,-3050021.194628031
-13062,-3049655.9503797274
-13061,-3049290.7031558566
-13060,-3048925.462838647
-13059,-3048560.212460364
-13058,-3048194.9643357117
-13057,-3047829.7240058715
-13056,-3047464.4771629917
-13055,-3047099.2368404465
-13054,-3046733.9959192937
-13053,-3046368.748029609
-13052,-3046003.5119304406
-13051,-3045638.2677260665
-13050,-3045273.0234001465
-13049,-3044907.787728848
-13048,-3044542.5394654823
-13047,-3044177.2976738317
-13046,-3043812.05464876
-13045,-3043446.8060880536
-13044,-3043081.568920877
-13043,-3042716.3232243294
-13042,-3042351.075558044
-13041,-3041985.835838955
-13040,-3041620.587714237
-13039,-3041255.3453296274
-13038,-3040890.1044704765
-13037,-3040524.8561111754
-13036,-3040159.6158800283
-13035,-3039794.370624638
-13034,-3039429.1217493312
-13033,-3039063.8855679994
-13032,-3038698.642174363
-13031,-3038333.400729971
-13030,-3037968.162261337
-13029,-3037602.9141760645
-13028,-3037237.675856035
-13027,-3036872.432942345
-13026,-3036507.1854301775
-13025,-3036141.9460206246
-13024,-3035776.6990300994
-13023,-3035411.4515645616
-13022,-3035046.208773803
-13021,-3034680.961392453
-13020,-3034315.7204632834
-13019,-3033950.4781533796
-13018,-3033585.229717031
-13017,-3033219.99030016
-13016,-3032854.748442552
-13015,-3032489.5042309705
-13014,-3032124.2665604036
-13013,-3031759.020849644
-13012,-3031393.7782916166
-13011,-3031028.535589245
-13010,-3030663.286349632
-13009,-3030298.048511518
-13008,-3029932.8062365605
-13007,-3029567.5617724853
-13006,-3029202.3207412753
-13005,-3028837.073996612
-13004,-3028471.8312618528
-13003,-3028106.5878661405
-13002,-3027741.340597295
-13001,-3027376.0978909945
-13000,-3027010.8537707375
-12999,-3026645.606200387
-12998,-3026280.3640954494
-12997,-3025915.122054767
-12996,-3025549.880054686
-12995,-3025184.6397827817
-12994,-3024819.3942322815
-12993,-3024454.152617287
-12992,-3024088.913844427
-12991,-3023723.669243267
-12990,-3023358.4291805457
-12989,-3022993.1853062473
-12988,-3022627.9395357007
-12987,-3022262.694079564
-12986,-3021897.446608036
-12985,-3021532.2038105503
-12984,-3021166.9617549097
-12983,-3020801.716720109
-12982,-3020436.4723085836
-12981,-3020071.2295412216
-12980,-3019705.986541858
-12979,-3019340.743774509
-12978,-3018975.500788735
-12977,-3018610.2572380016
-12976,-3018245.0150743434
-12975,-3017879.770696087
-12974,-3017514.528001585
-12973,-3017149.2885547057
-12972,-3016784.0468571605
-12971,-3016418.803454415
-12970,-3016053.5590936122
-12969,-3015688.3150833426
-12968,-3015323.072404379
-12967,-3014957.8285424532
-12966,-3014592.5829590177
-12965,-3014227.3381733336
-12964,-3013862.093239934
-12963,-3013496.8445438743
-12962,-3013131.602054283
-12961,-3012766.359193802
-12960,-3012401.118303512
-12959,-3012035.8779629264
-12958,-3011670.6329890126
-12957,-3011305.393522527
-12956,-3010940.1536539886
-12955,-3010574.909119959
-12954,-3010209.6681206236
-12953,-3009844.4236706
-12952,-3009479.1784311607
-12951,-3009113.9343861947
-12950,-3008748.6884790566
-12949,-3008383.445771694
-12948,-3008018.2046447294
-12947,-3007652.956243408
-12946,-3007287.711471268
-12945,-3006922.469826252
-12944,-3006557.2243325217
-12943,-3006191.984921246
-12942,-3005826.7401790638
-12941,-3005461.496057749
-12940,-3005096.2563988585
-12939,-3004731.007339552
-12938,-3004365.7672436098
-12937,-3004000.528154744
-12936,-3003635.2840722604
-12935,-3003270.0443969797
-12934,-3002904.7989070117
-12933,-3002539.555451555
-12932,-3002174.3163301917
-12931,-3001809.067537102
-12930,-3001443.823269069
-12929,-3001078.5796907404
-12928,-3000713.3303981805
-12927,-3000348.087464732
-12926,-2999982.844117608
-12925,-2999617.599679241
-12924,-2999252.363003726
-12923,-2998887.1148302658
-12922,-2998521.8715887526
-12921,-2998156.63468639
-12920,-2997791.3884115284
-12919,-2997426.1498339465
-12918,-2997060.9073020974
-12917,-2996695.6604290716
-12916,-2996330.4213169264
-12915,-2995965.1722648926
-12914,-2995599.9278727556
-12913,-2995234.690327594
-12912,-2994869.4423843147
-12911,-2994504.1992222546
-12910,-2994138.956649989
-12909,-2993773.7092573177
-12908,-2993408.4711916856
-12907,-2993043.224493402
-12906,-2992677.9772605933
-12905,-2992312.738829755
-12904,-2991947.489180145
-12903,-2991582.246935568
-12902,-2991217.009024338
-12901,-2990851.7632609652
-12900,-2990486.527842245
-12899,-2990121.281592424
-12898,-2989756.0362181636
-12897,-2989390.799875714
-12896,-2989025.553022012
-12895,-2988660.310173489
-12894,-2988295.068481602
-12893,-2987929.818490316
-12892,-2987564.576441613
-12891,-2987199.3300628895
-12890,-2986834.0825082
-12889,-2986468.8454625495
-12888,-2986103.598978149
-12887,-2985738.352980585
-12886,-2985373.1152657866
-12885,-2985007.8686606223
-12884,-2984642.6308806613
-12883,-2984277.389436568
-12882,-2983912.140241349
-12881,-2983546.9036759436
-12880,-2983181.6565226736
-12879,-2982816.4113458786
-12878,-2982451.1748486133
-12877,-2982085.9281983534
-12876,-2981720.687972716
-12875,-2981355.4433302833
-12874,-2980990.1944463616
-12873,-2980624.9557097014
-12872,-2980259.71025531
-12871,-2979894.462381715
-12870,-2979529.2219213946
-12869,-2979163.9736012137
-12868,-2978798.7301264713
-12867,-2978433.488843376
-12866,-2978068.2429880975
-12865,-2977703.0066716485
-12864,-2977337.76479231
-12863,-2976972.517805161
-12862,-2976607.2816182403
-12861,-2976242.0373010207
-12860,-2975876.7959659323
-12859,-2975511.5544163184
-12858,-2975146.3047597734
-12857,-2974781.062902133
-12856,-2974415.816772092
-12855,-2974050.568208974
-12854,-2973685.3287641034
-12853,-2973320.0843386166
-12852,-2972954.839151373
-12851,-2972589.597028504
-12850,-2972224.350360172
-12849,-2971859.110889852
-12848,-2971493.870674257
-12847,-2971128.6232241765
-12846,-2970763.3839477636
-12845,-2970398.140167514
-12844,-2970032.895253054
-12843,-2969667.655946303
-12842,-2969302.4114085864
-12841,-2968937.1714757476
-12840,-2968571.9287036285
-12839,-2968206.6803405043
-12838,-2967841.439790385
-12837,-2967476.196133217
-12836,-2967110.951261973
-12835,-2966745.7063173344
-12834,-2966380.459706407
-12833,-2966015.214427457
-12832,-2965649.970867875
-12831,-2965284.7259183237
-12830,-2964919.4857859146
-12829,-2964554.2464585695
-12828,-2964189.002020674
-12827,-2963823.7606279003
-12826,-2963458.5189006655
-12825,-2963093.277053629
-12824,-2962728.0364495525
-12823,-2962362.7899372485
-12822,-2961997.546389101
-12821,-2961632.302566562
-12820,-2961267.0561609073
-12819,-2960901.8131494746
-12818,-2960536.5693514245
-12817,-2960171.3261596253
-12816,-2959806.0811583493
-12815,-2959440.8359179217
-12814,-2959075.592915778
-12813,-2958710.3519543586
-12812,-2958345.1095334543
-12811,-2957979.864363283
-12810,-2957614.622045747
-12809,-2957249.377595784
-12808,-2956884.1343076695
-12807,-2956518.8929051952
-12806,-2956153.6510150107
-12805,-2955788.410747979
-12804,-2955423.1678031487
-12803,-2955057.9224196263
-12802,-2954692.681127824
-12801,-2954327.4384185355
-12800,-2953962.192565633
-12799,-2953596.9472393505
-12798,-2953231.7007149737
-12797,-2952866.4551485023
-12796,-2952501.21287807
-12795,-2952135.9673037753
-12794,-2951770.7267718418
-12793,-2951405.485749324
-12792,-2951040.239208021
-12791,-2950674.9987879125
-12790,-2950309.7560996236
-12789,-2949944.515261828
-12788,-2949579.275227419
-12787,-2949214.0288026175
-12786,-2948848.7859603977
-12785,-2948483.543484714
-12784,-2948118.2969225086
-12783,-2947753.0552091515
-12782,-2947387.8124302784
-12781,-2947022.5671396656
-12780,-2946657.3249934893
-12779,-2946292.078082375
-12778,-2945926.8345353687
-12777,-2945561.5951903965
-12776,-2945196.3461553436
-12775,-2944831.1029845467
-12774,-2944465.8595201103
-12773,-2944100.612619156
-12772,-2943735.375556154
-12771,-2943370.130605682
-12770,-2943004.8904546164
-12769,-2942639.653147977
-12768,-2942274.4047930064
-12767,-2941909.164319054
-12766,-2941543.9232926276
-12765,-2941178.677727798
-12764,-2940813.436856528
-12763,-2940448.1887561465
-12762,-2940082.9412071947
-12761,-2939717.7000888875
-12760,-2939352.45090961
-12759,-2938987.207754368
-12758,-2938621.9682663335
-12757,-2938256.7205299335
-12756,-2937891.4806325743
-12755,-2937526.2379714437
-12754,-2937160.9938875865
-12753,-2936795.7591158785
-12752,-2936430.5109742917
-12751,-2936065.267533344
-12750,-2935700.0278464155
-12749,-2935334.779528807
-12748,-2934969.5410709362
-12747,-2934604.298147843
-12746,-2934239.052265377
-12745,-2933873.81334953
-12744,-2933508.5639196103
-12743,-2933143.318327795
-12742,-2932778.0793670528
-12741,-2932412.8306403095
-12740,-2932047.5884690126
-12739,-2931682.3443829427
-12738,-2931317.095272662
-12737,-2930951.8583410885
-12736,-2930586.6128494088
-12735,-2930221.3694065167
-12734,-2929856.134404038
-12733,-2929490.8869257523
-12732,-2929125.647053877
-12731,-2928760.4072319763
-12730,-2928395.1604939336
-12729,-2928029.92346365
-12728,-2927664.675315341
-12727,-2927299.4266141364
-12726,-2926934.185685573
-12725,-2926568.9373004967
-12724,-2926203.693630196
-12723,-2925838.4539549584
-12722,-2925473.206199063
-12721,-2925107.966384207
-12720,-2924742.7220631484
-12719,-2924377.4748551957
-12718,-2924012.2393484935
-12717,-2923646.994141305
-12716,-2923281.7501268797
-12715,-2922916.5108781457
-12714,-2922551.2619117703
-12713,-2922186.0239907084
-12712,-2921820.7813687297
-12711,-2921455.534494592
-12710,-2921090.297580732
-12709,-2920725.0501459455
-12708,-2920359.805788189
-12707,-2919994.5657521626
-12706,-2919629.3187995786
-12705,-2919264.0774793
-12704,-2918898.8318060488
-12703,-2918533.5813463302
-12702,-2918168.3404088933
-12701,-2917803.0965317767
-12700,-2917437.851648513
-12699,-2917072.6148128146
-12698,-2916707.3698997293
-12697,-2916342.1289549507
-12696,-2915976.8885370595
-12695,-2915611.6417148607
-12694,-2915246.404281822
-12693,-2914881.161401917
-12692,-2914515.9133297335
-12691,-2914150.6728882007
-12690,-2913785.425741642
-12689,-2913420.1832637023
-12688,-2913054.9408576507
-12687,-2912689.693542864
-12686,-2912324.4519014563
-12685,-2911959.20775304
-12684,-2911593.960827074
-12683,-2911228.7209706428
-12682,-2910863.478123758
-12681,-2910498.2343767155
-12680,-2910132.9920477783
-12679,-2909767.7445369745
-12678,-2909402.5033778874
-12677,-2909037.262948149
-12676,-2908672.0185817936
-12675,-2908306.7804985847
-12674,-2907941.53763777
-12673,-2907576.2941276813
-12672,-2907211.0520271063
-12671,-2906845.8063502675
-12670,-2906480.564089788
-12669,-2906115.3197785
-12668,-2905750.071191701
-12667,-2905384.8261267794
-12666,-2905019.581918204
-12665,-2904654.337996821
-12664,-2904289.095578078
-12663,-2903923.853081052
-12662,-2903558.609395981
-12661,-2903193.369412057
-12660,-2902828.1254618512
-12659,-2902462.8851583004
-12658,-2902097.6460571922
-12657,-2901732.4017795557
-12656,-2901367.1579780933
-12655,-2901001.9127693223
-12654,-2900636.668706435
-12653,-2900271.4267660016
-12652,-2899906.1823116997
-12651,-2899540.9388013603
-12650,-2899175.694861545
-12649,-2898810.4505243897
-12648,-2898445.2049081186
-12647,-2898079.961987987
-12646,-2897714.7187410668
-12645,-2897349.4739332944
-12644,-2896984.230577849
-12643,-2896618.9851886733
-12642,-2896253.7449481636
-12641,-2895888.5046814457
-12640,-2895523.26130346
-12639,-2895158.021538131
-12638,-2894792.77804921
-12637,-2894427.5355023267
-12636,-2894062.293596222
-12635,-2893697.04968506
-12634,-2893331.80718576
-12633,-2892966.5631312253
-12632,-2892601.3137012105
-12631,-2892236.06842375
-12630,-2891870.8240457475
-12629,-2891505.5793591617
-12628,-2891140.3383116145
-12627,-2890775.0942614665
-12626,-2890409.851611971
-12625,-2890044.6125641996
-12624,-2889679.366496752
-12623,-2889314.12703289
-12622,-2888948.8859766675
-12621,-2888583.6399299577
-12620,-2888218.398270228
-12619,-2887853.1527842963
-12618,-2887487.910329545
