year,tdb
-13198,-3099328.0828524847
-13197,-3098962.8368001347
-13196,-3098597.600625395
-13195,-3098232.3540972946
-13194,-3097867.1109684007
-13193,-3097501.8732239027
-13192,-3097136.6271263473
-13191,-3096771.387200621
-13190,-3096406.1421274208
-13189,-3096040.8932797406
-13188,-3095675.6537410254
-13187,-3095310.40968531
-13186,-3094945.1650964133
-13185,-3094579.927750822
-13184,-3094214.6817560242
-13183,-3093849.439254144
-13182,-3093484.198536611
-13181,-3093118.9507842753
-13180,-3092753.7137937117
-13179,-3092388.4700168334
-13178,-3092023.2220112123
-13177,-3091657.982761557
-13176,-3091292.7356072273
-13175,-3090927.494614358
-13174,-3090562.253746975
-13173,-3090197.007495341
-13172,-3089831.768082056
-13171,-3089466.5243713865
-13170,-3089101.2788946014
-13169,-3088736.0402905587
-13168,-3088370.796735218
-13167,-3088005.5531540783
-13166,-3087640.3094136566
-13165,-3087275.0621613916
-13164,-3086909.8203790355
-13163,-3086544.57977625
-13162,-3086179.334164086
-13161,-3085814.095640653
-13160,-3085448.8521867553
-13159,-3085083.608069705
-13158,-3084718.367580603
-13157,-3084353.122473063
-13156,-3083987.8818765637
-13155,-3083622.638990472
-13154,-3083257.39106406
-13153,-3082892.148632111
-13152,-3082526.9052608237
-13151,-3082161.6620175214
-13150,-3081796.4211077522
-13149,-3081431.1777061783
-13148,-3081065.935000061
-13147,-3080700.69394519
-13146,-3080335.449291588
-13145,-3079970.2082451824
-13144,-3079604.967540199
-13143,-3079239.7218709616
-13142,-3078874.4776099427
-13141,-3078509.2324275086
-13140,-3078143.9888280816
-13139,-3077778.7482919693
-13138,-3077413.5041252906
-13137,-3077048.2625992475
-13136,-3076683.02006583
-13135,-3076317.7771847425
-13134,-3075952.5335719176
-13133,-3075587.2922570407
-13132,-3075222.050060369
-13131,-3074856.8060316434
-13130,-3074491.561436058
-13129,-3074126.3161467025
-13128,-3073761.0751229255
-13127,-3073395.8333121436
-13126,-3073030.5890582986
-13125,-3072665.348299411
-13124,-3072300.1038399637
-13123,-3071934.861276783
-13122,-3071569.6191835087
-13121,-3071204.3758362904
-13120,-3070839.1350802043
-13119,-3070473.8905080333
-13118,-3070108.6440964583
-13117,-3069743.4007734163
-13116,-3069378.1585936453
-13115,-3069012.915716544
-13114,-3068647.6747032003
-13113,-3068282.4315487444
-13112,-3067917.1886002785
-13111,-3067551.9484921824
-13110,-3067186.702411174
-13109,-3066821.461964381
-13108,-3066456.2197592584
-13107,-3066090.9723421214
-13106,-3065725.7298395066
-13105,-3065360.484147111
-13104,-3064995.2417449346
-13103,-3064630.0032365816
-13102,-3064264.7568286723
-13101,-3063899.515899946
-13100,-3063534.274232895
-13099,-3063169.0287600392
-13098,-3062803.788432928
-13097,-3062438.5462433193
-13096,-3062073.3020441486
-13095,-3061708.0612673983
-13094,-3061342.812781685
-13093,-3060977.568834734
-13092,-3060612.3296291977
-13091,-3060247.082848536
-13090,-3059881.8429912105
-13089,-3059516.59999022
-13088,-3059151.3548969924
-13087,-3058786.116982336
-13086,-3058420.871040428
-13085,-3058055.6293080887
-13084,-3057690.3894569688
-13083,-3057325.140118396
-13082,-3056959.8971575657
-13081,-3056594.65441393
-13080,-3056229.4098328976
-13079,-3055864.1723796288
-13078,-3055498.927560392
-13077,-3055133.682836295
-13076,-3054768.4445642224
-13075,-3054403.1972560296
-13074,-3054037.9553261064
-13073,-3053672.71613001
-13072,-3053307.4674577136
-13071,-3052942.228481048
-13070,-3052576.9812827706
-13069,-3052211.7354558874
-13068,-3051846.4998816773
-13067,-3051481.2523409994
-13066,-3051116.0107163284
-13065,-3050750.7705393974
-13064,-3050385.5233175727
-13063,-3050020.2856181366
-13062,-3049655.041862717
-13061,-3049289.7966148304
-13060,-3048924.557976531
-13059,-3048559.3090237984
-13058,-3048194.062936441
-13057,-3047828.8236866407
-13056,-3047463.577833213
-13055,-3047098.3385542203
-13054,-3046733.0971377883
-13053,-3046367.8493317487
-13052,-3046002.6129931584
-13051,-3045637.367175189
-13050,-3045272.122618908
-13049,-3044906.885841688
-13048,-3044541.636772057
-13047,-3044176.3951152265
-13046,-3043811.1512826337
-13045,-3043445.9034857014
-13044,-3043080.6673897905
-13043,-3042715.4223183785
-13042,-3042350.176691834
-13041,-3041984.938689962
-13040,-3041619.691980484
-13039,-3041254.4515002593
-13038,-3040889.211646769
-13037,-3040523.964171231
-13036,-3040158.724875047
-13035,-3039793.47889545
-13034,-3039428.229908523
-13033,-3039062.993380593
-13032,-3038697.748379221
-13031,-3038332.506624828
-13030,-3037967.267064953
-13029,-3037602.018294543
-13028,-3037236.7802217305
-13027,-3036871.5366893923
-13026,-3036506.2901316173
-13025,-3036141.0520497495
-13024,-3035775.8058892097
-13023,-3035410.560394005
-13022,-3035045.3193161236
-13021,-3034680.073316602
-13020,-3034314.834206608
-13019,-3033949.5927529708
-13018,-3033584.344950769
-13017,-3033219.106326335
-13016,-3032853.8636091677
-13015,-3032488.619109921
-13014,-3032123.381062027
-13013,-3031758.133823622
-13012,-3031392.8909993144
-13011,-3031027.6472024554
-13010,-3030662.3973256666
-13009,-3030297.159883583
-13008,-3029931.9172312627
-13007,-3029566.6737859454
-13006,-3029201.4342028666
-13005,-3028836.1884216163
-13004,-3028470.947722082
-13003,-3028105.7060434446
-13002,-3027740.460115984
-13001,-3027375.2192047555
-13000,-3027009.975856712
-12999,-3026644.7285737228
-12998,-3026279.4870965173
-12997,-3025914.244054295
-12996,-3025549.001696091
-12995,-3025183.760912869
-12994,-3024818.5137878126
-12993,-3024453.2719430663
-12992,-3024088.032229673
-12991,-3023722.787008443
-12990,-3023357.5475754486
-12989,-3022992.3036051374
-12988,-3022627.059023441
-12987,-3022261.815063945
-12986,-3021896.568640056
-12985,-3021531.3279386805
-12984,-3021166.087632927
-12983,-3020800.8436979474
-12982,-3020435.6009646878
-12981,-3020070.3588149166
-12980,-3019705.1159372665
-12979,-3019339.8736449704
-12978,-3018974.6295535713
-12977,-3018609.3856604034
-12976,-3018244.1429277733
-12975,-3017878.8968096664
-12974,-3017513.6539377486
-12973,-3017148.4137121057
-12972,-3016783.171547576
-12971,-3016417.928878528
-12970,-3016052.6845749673
-12969,-3015687.4419422466
-12968,-3015322.2009085314
-12967,-3014956.9581235945
-12966,-3014591.7147166356
-12965,-3014226.471736988
-12964,-3013861.2277353127
-12963,-3013495.9804989025
-12962,-3013130.738405058
-12961,-3012765.4955643127
-12960,-3012400.255005613
-12959,-3012035.0132864695
-12958,-3011669.7679137206
-12957,-3011304.5278778123
-12956,-3010939.2862851415
-12955,-3010574.0416860227
-12954,-3010208.800089361
-12953,-3009843.5554363
-12952,-3009478.3110582624
-12951,-3009113.0671126796
-12950,-3008747.822752676
-12949,-3008382.581826126
-12948,-3008017.3418126684
-12947,-3007652.095510631
-12946,-3007286.8524705963
-12945,-3006921.6116447346
-12944,-3006556.36744841
-12943,-3006191.1281953193
-12942,-3005825.8834380647
-12941,-3005460.63954095
-12940,-3005095.3983478574
-12939,-3004730.1487732977
-12938,-3004364.90809884
-12937,-3003999.6673972057
-12936,-3003634.4233313743
-12935,-3003269.183054354
-12934,-3002903.937582195
-12933,-3002538.6951529887
-12932,-3002173.456329054
-12931,-3001808.2092319755
-12930,-3001442.9668971887
-12929,-3001077.724517164
-12928,-3000712.4772180375
-12927,-3000347.2358006127
-12926,-2999981.993167338
-12925,-2999616.7498849146
-12924,-2999251.5131611153
-12923,-2998886.264790727
-12922,-2998521.021612511
-12921,-2998155.783141397
-12920,-2997790.5363226775
-12919,-2997425.29715244
-12918,-2997060.053212994
-12917,-2996694.8064636933
-12916,-2996329.566807946
-12915,-2995964.3179390756
-12914,-2995599.0747131268
-12913,-2995233.8377043623
-12912,-2994868.5914937006
-12911,-2994503.350248607
-12910,-2994138.108915073
-12909,-2993772.863435776
-12908,-2993407.62679886
-12907,-2993042.3807233125
-12906,-2992677.1345230388
-12905,-2992311.895919122
-12904,-2991946.645825981
-12903,-2991581.403439096
-12902,-2991216.163962055
-12901,-2990850.9176393077
-12900,-2990485.681610373
-12899,-2990120.43405257
-12898,-2989755.1888840003
-12897,-2989389.9521897566
-12896,-2989024.705715022
-12895,-2988659.464167339
-12894,-2988294.223300428
-12893,-2987928.9751017364
-12892,-2987563.734961779
-12891,-2987198.489780682
-12890,-2986833.244040264
-12889,-2986468.008342189
-12888,-2986102.7622638233
-12887,-2985737.517036005
-12886,-2985372.279047925
-12885,-2985007.031816853
-12884,-2984641.7938405303
-12883,-2984276.5508593507
-12882,-2983911.301135729
-12881,-2983546.064004801
-12880,-2983180.815593019
-12879,-2982815.570664473
-12878,-2982450.3340702634
-12877,-2982085.087938058
-12876,-2981719.8491362287
-12875,-2981354.6054742252
-12874,-2980989.3584090015
-12873,-2980624.1216585524
-12872,-2980258.8773709787
-12871,-2979893.6312156627
-12870,-2979528.3920401316
-12869,-2979163.14388139
-12868,-2978797.9009615937
-12867,-2978432.659273154
-12866,-2978067.412631235
-12865,-2977702.176084757
-12864,-2977336.9325761143
-12863,-2976971.685023656
-12862,-2976606.448352798
-12861,-2976241.2029284183
-12860,-2975875.962010525
-12859,-2975510.720661735
-12858,-2975145.471665335
-12857,-2974780.23139525
-12856,-2974414.986299482
-12855,-2974049.739535722
-12854,-2973684.5021169
-12853,-2973319.2587774647
-12852,-2972954.015136659
-12851,-2972588.774150759
-12850,-2972223.5273793973
-12849,-2971858.288396653
-12848,-2971493.047630882
-12847,-2971127.7993133944
-12846,-2970762.5598050216
-12845,-2970397.314326887
-12844,-2970032.0688584438
-12843,-2969666.8291654782
-12842,-2969301.583624594
-12841,-2968936.3443185184
-12840,-2968571.1018955624
-12839,-2968205.8542851824
-12838,-2967840.6154787512
-12837,-2967475.372984222
-12836,-2967110.1299798964
-12835,-2966744.8870890317
-12834,-2966379.641432591
-12833,-2966014.397554557
-12832,-2965649.1549226753
-12831,-2965283.9096163213
-12830,-2964918.6698673526
-12829,-2964553.4298258657
-12828,-2964188.184432924
-12827,-2963822.9427418206
-12826,-2963457.6992928647
-12825,-2963092.4570581373
-12824,-2962727.216205351
-12823,-2962361.9688318036
-12822,-2961996.726114299
-12821,-2961631.482779109
-12820,-2961266.2372433934
-12819,-2960900.9960777024
-12818,-2960535.7534996048
-12817,-2960170.5122238053
-12816,-2959805.269141935
-12815,-2959440.0246581063
-12814,-2959074.782953091
-12813,-2958709.542809005
-12812,-2958344.2998938607
-12811,-2957979.0550023504
-12810,-2957613.81179131
-12809,-2957248.566390629
-12808,-2956883.3226946136
-12807,-2956518.0795602566
-12806,-2956152.8374081943
-12805,-2955787.597019475
-12804,-2955422.35333403
-12803,-2955057.108908208
-12802,-2954691.8682524357
-12801,-2954326.626687104
-12800,-2953961.382775387
-12799,-2953596.138731613
-12798,-2953230.894091121
-12797,-2952865.650352682
-12796,-2952500.4086532835
-12795,-2952135.1641969196
-12794,-2951769.9243044676
-12793,-2951404.6827007346
-12792,-2951039.436212523
-12791,-2950674.1947172806
-12790,-2950308.9511045367
-12789,-2949943.7098987605
-12788,-2949578.468225443
-12787,-2949213.221645401
-12786,-2948847.978768602
-12785,-2948482.7357892487
-12784,-2948117.4902524734
-12783,-2947752.249293589
-12782,-2947387.007875529
-12781,-2947021.764586685
-12780,-2946656.5237007607
-12779,-2946291.2785660317
-12778,-2945926.0367953693
-12777,-2945560.7979996884
-12776,-2945195.5498913797
-12775,-2944830.3071641345
-12774,-2944465.0630015237
-12773,-2944099.8159979368
-12772,-2943734.577718529
-12771,-2943369.3317688406
-12770,-2943004.0912736077
-12769,-2942638.8524826337
-12768,-2942273.6039752215
-12767,-2941908.3635592908
-12766,-2941543.122326062
-12765,-2941177.8780050613
-12764,-2940812.6380555015
-12763,-2940447.391417768
-12762,-2940082.1458956283
-12761,-2939716.906110459
-12760,-2939351.6585121853
-12759,-2938986.4170052335
-12758,-2938621.1779593835
-12757,-2938255.9309685556
-12756,-2937890.6912355097
-12755,-2937525.4477065196
-12754,-2937160.2034493703
-12753,-2936794.9675627323
-12752,-2936429.7183405533
-12751,-2936064.474584218
-12750,-2935699.2335584937
-12749,-2935333.9851972107
-12748,-2934968.7468534615
-12747,-2934603.503939786
-12746,-2934238.25946681
-12745,-2933873.021693728
-12744,-2933507.7736603525
-12743,-2933142.5301199723
-12742,-2932777.2925863788
-12741,-2932412.0453792047
-12740,-2932046.8046963057
-12739,-2931681.5608558757
-12738,-2931316.312311352
