year,tdb
-13198,-3099316.0537680136
-13197,-3098950.820106809
-13196,-3098585.582526697
-13195,-3098220.3417334873
-13194,-3097855.1047614394
-13193,-3097489.8653299566
-13192,-3097124.6268226644
-13191,-3096759.3892114935
-13190,-3096394.143317883
-13189,-3096028.9018172855
-13188,-3095663.6624745224
-13187,-3095298.418088625
-13186,-3094933.181525305
-13185,-3094567.943406623
-13184,-3094202.70323769
-13183,-3093837.4683292937
-13182,-3093472.224995617
-13181,-3093106.9887249526
-13180,-3092741.7553700246
-13179,-3092376.512728608
-13178,-3092011.2761600176
-13177,-3091646.0359839844
-13176,-3091280.794200806
-13175,-3090915.558806032
-13174,-3090550.3156810515
-13173,-3090185.0767824408
-13172,-3089819.8404495353
-13171,-3089454.594769953
-13170,-3089089.3557098974
-13169,-3088724.118661481
-13168,-3088358.875769457
-13167,-3087993.6409340547
-13166,-3087628.3960298253
-13165,-3087263.154525101
-13164,-3086897.9208125453
-13163,-3086532.676854071
-13162,-3086167.442005554
-13161,-3085802.207781638
-13160,-3085436.965546442
-13159,-3085071.731891549
-13158,-3084706.490108723
-13157,-3084341.2508250773
-13156,-3083976.01727431
-13155,-3083610.7721441863
-13154,-3083245.5303922184
-13153,-3082880.291518704
-13152,-3082515.0458523426
-13151,-3082149.8085252717
-13150,-3081784.5690105734
-13149,-3081419.326150113
-13148,-3081054.093004618
-13147,-3080688.8497248758
-13146,-3080323.6102624033
-13145,-3079958.378931677
-13144,-3079593.1359186815
-13143,-3079227.9012299534
-13142,-3078862.660860056
-13141,-3078497.416631913
-13140,-3078132.1836742144
-13139,-3077766.9410032975
-13138,-3077401.7017195495
-13137,-3077036.4677814506
-13136,-3076671.222873832
-13135,-3076305.9849810377
-13134,-3075940.74480485
-13133,-3075575.5018928517
-13132,-3075210.2670935458
-13131,-3074845.024425489
-13130,-3074479.7797080474
-13129,-3074114.5447073635
-13128,-3073749.3014738783
-13127,-3073384.0644021425
-13126,-3073018.8297396246
-13125,-3072653.586825383
-13124,-3072288.3536752053
-13123,-3071923.1138866367
-13122,-3071557.872352449
-13121,-3071192.6408868106
-13120,-3070827.3989393627
-13119,-3070462.158670932
-13118,-3070096.9192596087
-13117,-3069731.6731296247
-13116,-3069366.4360198127
-13115,-3069001.195883726
-13114,-3068635.952651849
-13113,-3068270.7177790934
-13112,-3067905.476196996
