year,tt
2000,2451623.816724213
2001,2451989.066724217
2002,2452354.316724226
2003,2452719.566724239
2004,2453084.8167242566
2005,2453450.0667242785
2006,2453815.3167243046
2007,2454180.566724335
2008,2454545.81672437
2009,2454911.0667244093
2010,2455276.316724453
2011,2455641.566724501
2012,2456006.8167245532
2013,2456372.06672461
2014,2456737.316724671
2015,2457102.5667247367
2016,2457467.8167248066
2017,2457833.0667248806
2018,2458198.3167249593
2019,2458563.566725042
2020,2458928.8167251297
2021,2459294.0667252215
2022,2459659.3167253174
2023,2460024.5667254175
2024,2460389.8167255223
2025,2460755.0667256317
2026,2461120.3167257453
2027,2461485.566725863
2028,2461850.816725985
2029,2462216.066726112
2030,2462581.3167262427
2031,2462946.566726378
2032,2463311.816726518
2033,2463677.0667266618
2034,2464042.3167268103
2035,2464407.566726963
2036,2464772.8167271204
2037,2465138.066727282
2038,2465503.316727448
2039,2465868.5667276178
2040,2466233.8167277924
2041,2466599.0667279717
2042,2466964.316728155
2043,2467329.566728343
2044,2467694.8167285346
2045,2468060.066728731
2046,2468425.316728932
2047,2468790.566729137
2048,2469155.8167293468
2049,2469521.0667295605
2050,2469886.316729779
2051,2470251.5667300015
2052,2470616.8167302287
2053,2470982.06673046
2054,2471347.316730696
2055,2471712.5667309356
2056,2472077.81673118
2057,2472443.066731429
2058,2472808.3167316825
2059,2473173.56673194
2060,2473538.8167322017
2061,2473904.066732468
2062,2474269.3167327386
2063,2474634.566733014
2064,2474999.8167332932
2065,2475365.066733577
2066,2475730.316733865
2067,2476095.5667341575
2068,2476460.8167344546
2069,2476826.066734756
2070,2477191.3167350614
2071,2477556.566735371
2072,2477921.8167356853
2073,2478287.0667360043
2074,2478652.3167363275
2075,2479017.566736655
2076,2479382.8167369864
2077,2479748.0667373226
2078,2480113.316737663
2079,2480478.566738008
2080,2480843.8167383573
2081,2481209.0667387107
2082,2481574.316739069
2083,2481939.566739431
2084,2482304.816739798
2085,2482670.066740169
2086,2483035.3167405445
2087,2483400.566740924
2088,2483765.816741308
2089,2484131.066741697
2090,2484496.31674209
2091,2484861.5667424873
2092,2485226.8167428887
2093,2485592.0667432947
2094,2485957.316743705
2095,2486322.56674412
2096,2486687.816744539
2097,2487053.0667449622
2098,2487418.31674539
2099,2487783.5667458223
2100,2488148.816746259
2101,2488514.0667466996
2102,2488879.3167471453
2103,2489244.5667475946
2104,2489609.8167480486
2105,2489975.0667485073
2106,2490340.3167489697
2107,2490705.5667494372
2108,2491070.8167499085
2109,2491436.0667503844
2110,2491801.3167508645
2111,2492166.5667513493
2112,2492531.816751838
2113,2492897.0667523313
2114,2493262.316752829
2115,2493627.566753331
2116,2493992.8167538373
2117,2494358.066754348
2118,2494723.3167548636
2119,2495088.566755383
2120,2495453.8167559067
2121,2495819.066756435
2122,2496184.3167569675
2123,2496549.5667575044
2124,2496914.816758046
2125,2497280.0667585917
2126,2497645.3167591416
2127,2498010.566759696
2128,2498375.816760255
2129,2498741.066760818
2130,2499106.3167613856
2131,2499471.5667619575
2132,2499836.8167625335
2133,2500202.066763114
2134,2500567.316763699
2135,2500932.5667642886
2136,2501297.8167648823
2137,2501663.06676548
2138,2502028.316766083
2139,2502393.5667666895
2140,2502758.816767301
2141,2503124.0667679165
2142,2503489.3167685363
2143,2503854.566769161
2144,2504219.8167697894
2145,2504585.0667704223
2146,2504950.3167710598
2147,2505315.5667717014
2148,2505680.816772348
2149,2506046.0667729983
2150,2506411.316773653
2151,2506776.5667743124
2152,2507141.816774976
2153,2507507.066775644
2154,2507872.3167763166
2155,2508237.566776993
2156,2508602.8167776745
2157,2508968.06677836
2158,2509333.3167790496
2159,2509698.566779744
2160,2510063.8167804424
2161,2510429.0667811455
2162,2510794.316781853
2163,2511159.5667825644
2164,2511524.8167832806
2165,2511890.066784001
2166,2512255.316784726
2167,2512620.566785455
2168,2512985.8167861886
2169,2513351.0667869267
2170,2513716.316787669
2171,2514081.566788416
2172,2514446.816789167
2173,2514812.0667899223
2174,2515177.3167906823
2175,2515542.5667914464
2176,2515907.8167922148
2177,2516271.71865146
2178,2516636.959435992
2179,2517002.200220528
2180,2517367.443443382
2181,2517732.6866662404
2182,2518097.9298891034
2183,2518463.1731119705
2184,2518828.416334842
2185,2519193.6595577174
2186,2519558.9027805976
2187,2519924.1460034824
2188,2520289.3892263714
2189,2520654.6324492646
2190,2521019.875672162
2191,2521385.118895064
2192,2521750.362117971
2193,2522115.6053408813
2194,2522480.848563797
2195,2522846.091786716
2196,2523211.33500964
2197,2523576.578232568
2198,2523941.821455501
2199,2524307.064678438
2200,2524672.307901379
2201,2525037.551124325
2202,2525402.794347275
2203,2525768.0375702297
2204,2526133.2807931886
2205,2526498.5240161517
2206,2526863.7672391194
2207,2527229.0104620913
2208,2527594.253685068
2209,2527959.4969080486
2210,2528324.7401310336
2211,2528689.983354023
2212,2529055.226577017
2213,2529420.469800015
2214,2529785.7130230176
2215,2530150.9562460245
2216,2530516.199469036
2217,2530881.4426920516
2218,2531246.6859150715
2219,2531611.929138096
2220,2531977.172361125
2221,2532342.415584158
2222,2532707.6588071957
2223,2533072.9020302375
2224,2533438.145253284
2225,2533803.3884763345
2226,2534168.6316993893
2227,2534533.874922449
2228,2534899.1181455124
